run_id,artifact,path
semantic_guided_bf16_qat_best_recipe_20260615,semantic_split_manifest,/home/lucas/CSC3109_Project_qat/reports/tables/semantic_split_manifest.csv
semantic_guided_bf16_qat_best_recipe_20260615,sam3_mask_manifest,/home/lucas/CSC3109_Project_qat/reports/tables/semantic_sam3_class_aware_mask_manifest.csv
semantic_guided_bf16_qat_best_recipe_20260615,loveda_checkpoint,/home/lucas/CSC3109_Project_qat/model/semantic_guided_cgaf_loveda_semantic_guided_bf16_qat_best_recipe_20260615/best_miou.pt
semantic_guided_bf16_qat_best_recipe_20260615,fft_checkpoint,/home/lucas/CSC3109_Project_qat/model/semantic_guided_cgaf_fft_semantic_guided_bf16_qat_best_recipe_20260615/best_miou.pt
semantic_guided_bf16_qat_best_recipe_20260615,peft_checkpoint,/home/lucas/CSC3109_Project_qat/model/semantic_guided_cgaf_peft_semantic_guided_bf16_qat_best_recipe_20260615/best_macro_f1.pt
semantic_guided_bf16_qat_best_recipe_20260615,fft_raw_checkpoint_export,/home/lucas/CSC3109_Project_qat/model/semantic_guided_cgaf_checkpoint_exports_semantic_guided_bf16_qat_best_recipe_20260615/raw/fft_raw.pt
semantic_guided_bf16_qat_best_recipe_20260615,peft_raw_checkpoint_export,/home/lucas/CSC3109_Project_qat/model/semantic_guided_cgaf_checkpoint_exports_semantic_guided_bf16_qat_best_recipe_20260615/raw/peft_raw.pt
semantic_guided_bf16_qat_best_recipe_20260615,fft_awq_checkpoint,/home/lucas/CSC3109_Project_qat/model/semantic_guided_cgaf_checkpoint_exports_semantic_guided_bf16_qat_best_recipe_20260615/awq_w8a8/fft_awq_w8a8.pt
semantic_guided_bf16_qat_best_recipe_20260615,peft_awq_checkpoint,/home/lucas/CSC3109_Project_qat/model/semantic_guided_cgaf_checkpoint_exports_semantic_guided_bf16_qat_best_recipe_20260615/awq_w8a8/peft_awq_w8a8.pt
semantic_guided_bf16_qat_best_recipe_20260615,checkpoint_export_manifest,/home/lucas/CSC3109_Project_qat/model/semantic_guided_cgaf_checkpoint_exports_semantic_guided_bf16_qat_best_recipe_20260615/semantic_guided_cgaf_checkpoint_export_manifest.csv
semantic_guided_bf16_qat_best_recipe_20260615,quant_summary,/home/lucas/CSC3109_Project_qat/reports/tables/semantic_guided_cgaf_pipeline_semantic_guided_bf16_qat_best_recipe_20260615/quant_eval/semantic_guided_cgaf_quant_summary.csv
semantic_guided_bf16_qat_best_recipe_20260615,model_size_summary,/home/lucas/CSC3109_Project_qat/reports/tables/semantic_guided_cgaf_pipeline_semantic_guided_bf16_qat_best_recipe_20260615/quant_eval/semantic_guided_cgaf_model_size_by_quant_mode.csv
semantic_guided_bf16_qat_best_recipe_20260615,mask_export_manifest,/home/lucas/CSC3109_Project_qat/reports/tables/semantic_guided_cgaf_mask_exports_semantic_guided_bf16_qat_best_recipe_20260615/semantic_guided_cgaf_mask_export_manifest.csv
semantic_guided_bf16_qat_best_recipe_20260615,mask_export_summary,/home/lucas/CSC3109_Project_qat/reports/tables/semantic_guided_cgaf_mask_exports_semantic_guided_bf16_qat_best_recipe_20260615/semantic_guided_cgaf_mask_export_summary.json
semantic_guided_bf16_qat_best_recipe_20260615,mask_export_summary_csv,/home/lucas/CSC3109_Project_qat/reports/tables/semantic_guided_cgaf_mask_exports_semantic_guided_bf16_qat_best_recipe_20260615/semantic_guided_cgaf_mask_export_summary.csv
semantic_guided_bf16_qat_best_recipe_20260615,mask_figure_dir,/home/lucas/CSC3109_Project_qat/reports/figures/semantic_guided_cgaf_mask_exports_semantic_guided_bf16_qat_best_recipe_20260615
